Rank,Video name,Uploader,Views_B,Upload date
1,Baby Shark Dance,Pinkfong Baby Shark,11.02,"June 17, 2016"
2,Despacito,Luis Fonsi,7.92,"January 12, 2017"
3,Johny Johny Yes Papa,LooLoo Kids,6.4,"October 8, 2016"
4,Shape of You,Ed Sheeran,5.77,"January 30, 2017"
5,See You Again,Wiz Khalifa,5.58,"April 6, 2015"
6,Bath Song,Cocomelon,5.53,"May 2, 2018"
7,Phonics Song with Two Words,ChuChu TV,4.75,"March 6, 2014"
8,Uptown Funk,Mark Ronson,4.64,"November 19, 2014"
9,Learning Colors – Colorful Eggs on a Farm,Miroshka TV,4.6,"February 27, 2018"
10,Masha and the Bear – Recipe for Disaster,Get Movies,4.5,"January 31, 2012"
11,Gangnam Style,Psy,4.49,"July 15, 2012"
12,Wheels on the Bus,Cocomelon,4.24,"May 24, 2018"
13,Dame Tu Cosita,El Chombo,4,"April 5, 2018"
14,Sugar,Maroon 5,3.73,"January 14, 2015"
15,Roar,Katy Perry,3.62,"September 5, 2013"
16,Counting Stars,OneRepublic,3.61,"May 31, 2013"
17,Sorry,Justin Bieber,3.57,"October 22, 2015"
18,Thinking Out Loud,Ed Sheeran,3.48,"October 7, 2014"
19,Axel F,Crazy Frog,3.44,"June 16, 2009"
20,Girls Like You,Maroon 5,3.32,"May 31, 2018"
21,Dark Horse,Katy Perry,3.31,"February 20, 2014"
22,Faded,Alan Walker,3.31,"December 3, 2015"
23,Baa Baa Black Sheep,Cocomelon,3.31,"June 25, 2018"
24,Let Her Go,Passenger,3.27,"July 25, 2012"
25,Bailando,Enrique Iglesias,3.24,"April 11, 2014"
26,Lean On,Major Lazer,3.24,"March 22, 2015"
27,Perfect,Ed Sheeran,3.21,"November 9, 2017"
28,Waka Waka (This Time for Africa),Shakira,3.2,"June 4, 2010"
29,Shake It Off,Taylor Swift,3.19,"August 18, 2014"
30,Mi Gente,J Balvin,3.11,"June 29, 2017"
